file_nm,element_id,amount,unit_ref,decimals,contextref
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.444,,3,Prior2YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.482,,3,Prior1YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.494,,3,CurrentYearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.132,,3,Prior4YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.213,,3,Prior3YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.287,,3,Prior2YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.155,,3,Prior1YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.218,,3,CurrentYearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,10.5,,1,Prior4YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,10.3,,1,Prior3YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,11.3,,1,Prior2YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,17.0,,1,Prior1YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,7.8,,1,CurrentYearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,693502000,,-3,Prior4YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,516576000,,-3,Prior3YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,994024000,,-3,Prior2YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,471276000,,-3,Prior1YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,1135934000,,-3,CurrentYearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,-42180000,,-3,Prior4YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,-687191000,,-3,Prior3YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,-198997000,,-3,Prior2YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,-146861000,,-3,Prior1YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,-301484000,,-3,CurrentYearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,-74025000,,-3,Prior4YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,290114000,,-3,Prior3YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,-234275000,,-3,Prior2YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,-315743000,,-3,Prior1YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,-243579000,,-3,CurrentYearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,2121988000,,-3,Prior4YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,2244406000,,-3,Prior3YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,2805512000,,-3,Prior2YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,2816955000,,-3,Prior1YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,3406066000,,-3,CurrentYearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:numberofemployees,257,,0,Prior4YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:numberofemployees,399,,0,Prior3YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:numberofemployees,477,,0,Prior2YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:numberofemployees,542,,0,Prior1YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:numberofemployees,603,,0,CurrentYearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,41,,0,Prior3YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,23,,0,Prior2YearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,34,,0,Prior1YearInstant
