,version,提出日,提出回数,報告対象期間期末日,追番,第N期,名前空間接頭辞,tag,id,context,開始日,終了日,期末日,連結,値
70,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,TransactionsWithOtherSegments,,Prior1YTDDuration_jpcrp040300-q1r_E05663-000ConsolidatedStatementReportableSegmentMember,2016-07-01,2016-09-30,,True,1104000
71,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,TransactionsWithOtherSegments,,Prior1YTDDuration_jpcrp040300-q1r_E05663-000BusinessIntelligenceReportableSegmentMember,2016-07-01,2016-09-30,,True,1289000
72,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,TransactionsWithOtherSegments,,Prior1YTDDuration_jpcrp040300-q1r_E05663-000OutsourcingReportableSegmentMember,2016-07-01,2016-09-30,,True,12285000
73,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,TransactionsWithOtherSegments,,Prior1YTDDuration_TotalOfReportableSegmentsAndOthersMember,2016-07-01,2016-09-30,,True,14678000
74,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,RevenuesFromExternalCustomers,,CurrentYTDDuration_jpcrp040300-q1r_E05663-000ConsolidatedStatementReportableSegmentMember,2017-07-01,2017-09-30,,True,1392651000
75,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,RevenuesFromExternalCustomers,,CurrentYTDDuration_jpcrp040300-q1r_E05663-000BusinessIntelligenceReportableSegmentMember,2017-07-01,2017-09-30,,True,881919000
76,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,RevenuesFromExternalCustomers,,CurrentYTDDuration_jpcrp040300-q1r_E05663-000OutsourcingReportableSegmentMember,2017-07-01,2017-09-30,,True,269930000
77,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,RevenuesFromExternalCustomers,,CurrentYTDDuration_TotalOfReportableSegmentsAndOthersMember,2017-07-01,2017-09-30,,True,2544501000
78,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,TransactionsWithOtherSegments,,CurrentYTDDuration_jpcrp040300-q1r_E05663-000ConsolidatedStatementReportableSegmentMember,2017-07-01,2017-09-30,,True,
79,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,TransactionsWithOtherSegments,,CurrentYTDDuration_jpcrp040300-q1r_E05663-000BusinessIntelligenceReportableSegmentMember,2017-07-01,2017-09-30,,True,15691000
80,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,TransactionsWithOtherSegments,,CurrentYTDDuration_jpcrp040300-q1r_E05663-000OutsourcingReportableSegmentMember,2017-07-01,2017-09-30,,True,12285000
81,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,TransactionsWithOtherSegments,,CurrentYTDDuration_TotalOfReportableSegmentsAndOthersMember,2017-07-01,2017-09-30,,True,27976000
82,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,DocumentTitleCoverPage,,FilingDateInstant,,,2017-11-13,True,四半期報告書
83,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,ClauseOfStipulationCoverPage,,FilingDateInstant,,,2017-11-13,True,金融商品取引法第24条の４の７第１項
84,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,PlaceOfFilingCoverPage,,FilingDateInstant,,,2017-11-13,True,関東財務局長
85,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,FilingDateCoverPage,,FilingDateInstant,,,2017-11-13,True,2017-11-13 00:00:00
86,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,QuarterlyAccountingPeriodCoverPage,,FilingDateInstant,,,2017-11-13,True,第22期第１四半期(自  平成29年７月１日  至  平成29年９月30日)
87,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,CompanyNameCoverPage,,FilingDateInstant,,,2017-11-13,True,株式会社アバント
88,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,CompanyNameInEnglishCoverPage,,FilingDateInstant,,,2017-11-13,True,AVANT CORPORATION
89,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,TitleAndNameOfRepresentativeCoverPage,,FilingDateInstant,,,2017-11-13,True,代表取締役社長    森川  徹治
