,0,1,2,3,4,5,6,7,8,9,10
295,0201010010000010010,090,20020101,30000,1980CY00,3,3,1,0,243977,
296,0201010010000010010,090,20020101,31000,1980CY00,3,3,1,0,130631,
297,0201010010000010010,090,20020101,32000,1980CY00,3,3,1,0,167310,
298,0201010010000010010,090,20020101,33000,1980CY00,3,3,1,0,424254,
299,0201010010000010010,090,20020101,34000,1980CY00,3,3,1,0,647154,
300,0201010010000010010,090,20020101,35000,1980CY00,3,3,1,0,354404,
301,0201010010000010010,090,20020101,36000,1980CY00,3,3,1,0,175295,
302,0201010010000010010,090,20020101,37000,1980CY00,3,3,1,0,222244,
303,0201010010000010010,090,20020101,38000,1980CY00,3,3,1,0,341262,
304,0201010010000010010,090,20020101,39000,1980CY00,3,3,1,0,173649,
305,0201010010000010010,090,20020101,40000,1980CY00,3,3,1,0,1049782,
306,0201010010000010010,090,20020101,41000,1980CY00,3,3,1,0,200620,
307,0201010010000010010,090,20020101,42000,1980CY00,3,3,1,0,385200,
308,0201010010000010010,090,20020101,43000,1980CY00,3,3,1,0,395027,
309,0201010010000010010,090,20020101,44000,1980CY00,3,3,1,0,276390,
310,0201010010000010010,090,20020101,45000,1980CY00,3,3,1,0,273766,
311,0201010010000010010,090,20020101,46000,1980CY00,3,3,1,0,399511,
312,0201010010000010010,090,20020101,47000,1980CY00,3,3,1,0,325393,
313,0201010010000010010,090,20020101,01000,1981CY00,3,3,1,0,1300000,
314,0201010010000010010,090,20020101,02000,1981CY00,3,3,1,0,369000,
315,0201010010000010010,090,20020101,03000,1981CY00,3,3,1,0,326000,
316,0201010010000010010,090,20020101,04000,1981CY00,3,3,1,0,487000,
317,0201010010000010010,090,20020101,05000,1981CY00,3,3,1,0,264000,
318,0201010010000010010,090,20020101,06000,1981CY00,3,3,1,0,265000,
319,0201010010000010010,090,20020101,07000,1981CY00,3,3,1,0,472000,
320,0201010010000010010,090,20020101,08000,1981CY00,3,3,1,0,638000,
321,0201010010000010010,090,20020101,09000,1981CY00,3,3,1,0,439000,
322,0201010010000010010,090,20020101,10000,1981CY00,3,3,1,0,447000,
323,0201010010000010010,090,20020101,11000,1981CY00,3,3,1,0,1467000,
324,0201010010000010010,090,20020101,12000,1981CY00,3,3,1,0,1245000,
325,0201010010000010010,090,20020101,13000,1981CY00,3,3,1,0,2343000,
326,0201010010000010010,090,20020101,14000,1981CY00,3,3,1,0,1702000,
327,0201010010000010010,090,20020101,15000,1981CY00,3,3,1,0,554000,
328,0201010010000010010,090,20020101,16000,1981CY00,3,3,1,0,251000,
329,0201010010000010010,090,20020101,17000,1981CY00,3,3,1,0,268000,
330,0201010010000010010,090,20020101,18000,1981CY00,3,3,1,0,183000,
331,0201010010000010010,090,20020101,19000,1981CY00,3,3,1,0,182000,
332,0201010010000010010,090,20020101,20000,1981CY00,3,3,1,0,470000,
333,0201010010000010010,090,20020101,21000,1981CY00,3,3,1,0,475000,
334,0201010010000010010,090,20020101,22000,1981CY00,3,3,1,0,839000,
335,0201010010000010010,090,20020101,23000,1981CY00,3,3,1,0,1553000,
336,0201010010000010010,090,20020101,24000,1981CY00,3,3,1,0,391000,
337,0201010010000010010,090,20020101,25000,1981CY00,3,3,1,0,272000,
338,0201010010000010010,090,20020101,26000,1981CY00,3,3,1,0,574000,
339,0201010010000010010,090,20020101,27000,1981CY00,3,3,1,0,2049000,
340,0201010010000010010,090,20020101,28000,1981CY00,3,3,1,0,1230000,
341,0201010010000010010,090,20020101,29000,1981CY00,3,3,1,0,298000,
342,0201010010000010010,090,20020101,30000,1981CY00,3,3,1,0,245000,
343,0201010010000010010,090,20020101,31000,1981CY00,3,3,1,0,132000,
344,0201010010000010010,090,20020101,32000,1981CY00,3,3,1,0,169000,
345,0201010010000010010,090,20020101,33000,1981CY00,3,3,1,0,427000,
346,0201010010000010010,090,20020101,34000,1981CY00,3,3,1,0,653000,
347,0201010010000010010,090,20020101,35000,1981CY00,3,3,1,0,357000,
348,0201010010000010010,090,20020101,36000,1981CY00,3,3,1,0,176000,
349,0201010010000010010,090,20020101,37000,1981CY00,3,3,1,0,225000,
350,0201010010000010010,090,20020101,38000,1981CY00,3,3,1,0,345000,
351,0201010010000010010,090,20020101,39000,1981CY00,3,3,1,0,176000,
352,0201010010000010010,090,20020101,40000,1981CY00,3,3,1,0,1060000,
353,0201010010000010010,090,20020101,41000,1981CY00,3,3,1,0,203000,
354,0201010010000010010,090,20020101,42000,1981CY00,3,3,1,0,388000,
355,0201010010000010010,090,20020101,43000,1981CY00,3,3,1,0,398000,
356,0201010010000010010,090,20020101,44000,1981CY00,3,3,1,0,280000,
357,0201010010000010010,090,20020101,45000,1981CY00,3,3,1,0,279000,
358,0201010010000010010,090,20020101,46000,1981CY00,3,3,1,0,405000,
359,0201010010000010010,090,20020101,47000,1981CY00,3,3,1,0,330000,
360,0201010010000010010,090,20020101,01000,1982CY00,3,3,1,0,1281000,
361,0201010010000010010,090,20020101,02000,1982CY00,3,3,1,0,365000,
